dimension,train,test,scaling,pca_comp,whiten,model,metric,score,date
arousal,bal_pmemo,deam,standard,1,True,SVRlin,r2,-0.62,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,1,True,Ridge,rmse,0.148,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,1,True,Ridge,r2,0.16,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,1,True,Ridge,rmse,0.202,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,1,True,Ridge,r2,-0.21,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,1,True,SVRrbf,rmse,0.152,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,1,True,SVRrbf,r2,0.11,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,1,True,SVRrbf,rmse,0.22,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,1,True,SVRrbf,r2,-0.44,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,1,True,SVRlin,rmse,0.148,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,1,True,SVRlin,r2,0.17,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,1,True,SVRlin,rmse,0.196,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,1,True,SVRlin,r2,-0.13,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,1,True,Ridge,accuracy,0.34,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,1,True,SVRrbf,accuracy,0.34,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,1,True,SVRlin,accuracy,0.34,2019-12-21_09-57-02
categorical,deam,dixon,standard,1,True,Ridge,accuracy,0.34,2019-12-21_09-57-02
categorical,deam,dixon,standard,1,True,SVRrbf,accuracy,0.27,2019-12-21_09-57-02
categorical,deam,dixon,standard,1,True,SVRlin,accuracy,0.33,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,1,True,Ridge,accuracy,0.34,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,1,True,SVRrbf,accuracy,0.34,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,1,True,SVRlin,accuracy,0.34,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,1,True,Ridge,accuracy,0.34,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,1,True,SVRrbf,accuracy,0.24,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,1,True,SVRlin,accuracy,0.33,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,1,True,Ridge,accuracy,0.32,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,1,True,SVRrbf,accuracy,0.29,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,1,True,SVRlin,accuracy,0.32,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,1,True,Ridge,accuracy,0.33,2019-12-21_09-57-02
